Level name;Time taken;Num of tries
C01;8.450035;1
C02;11.28449;1
C01;11.99455;1
C02;7.119831;1
C03;4.853165;1
C04;7.378448;1
S01;6.006927;1
S02;11.3009;1
S03;9.130787;1
CS01;6.082645;1
CS02;8.463367;1
CS03;24.26498;1
P01;7.813255;1
P02;6.936066;1
P03;9.413185;1
CP01;12.38215;1
CP02;30.73854;1
CP03;14.04312;1
SP01;9.076797;1
SP02;12.00044;1
SP03;23.39828;1
CSP01;14.75807;1
CSP02;18.55655;1
CSP03;18.40649;1
D01;9.242767;1
D02;9.070068;1
D03;8.835419;1
CD01;7.519745;1
CD02;14.7511;1
CD03;12.4606;1
SD01;7.201538;1
SD02;19.15259;1
SD03;18.36908;1
PD01;11.78497;1
PD02;16.806;1
PD03;14.51242;1
CSD01;11.48856;1
CSD02;14.84045;1
CSD03;32.24368;1
CPD01;20.27972;1
CPD02;14.42661;1
SPD01;12.54846;1
SPD02;14.367;1
SPD03;12.6203;1
CSPD01;20.15375;1
CSPD02;27.77759;1
CSPD03;11.9386;1
A01;33.40411;1
A02;6.204651;1
A03;15.20648;1
A04;5.890625;1
A05;7.806274;1
A06;9.920471;1
A07;76.84418;5
CA01;14.82025;1
CA02;13.54248;1
CA03;25.6142;2
SA01;10.4928;1
SA02;17.354;1
SA03;58.79303;2
PA01;12.99121;1
PA02;11.36279;1
PA03;160.421;9
DA01;30.84717;1
DA02;26.08777;1
DA03;67.14355;2
CSA01;16.05493;1
CSA02;39.55432;1
CSA03;29.27173;1
CSA04;66.50732;2
CSA05;550.1077;14
CPA01;26.28345;1
CPA02;175.9196;4
CPA03;17.52393;1
CDA01;130.8608;8
CDA02;31.82446;1
CDA03;137.2444;8
SPA01;80.03638;1
SPA02;312.1211;7
SDA01;259.8789;3
SDA02;40.85791;1
PDA01;378.6343;35
PDA02;114.9502;5
PDA03;15.21948;1
CSPA01;40.27441;1
